codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
878771050201-3,MANAUS - VIVA VIDA FLORES,"AVENIDA DAS TORRES,N. 8120 Apto. 112 BL 04, , LAGO AZUL",LAGO AZUL,,"R$ 88.990,38","81,68 m²",1 quartos,Apartamento,8
878771052655-9,MANAUS - VIVA VIDA FLORES,"AVENIDA DAS TORRES,N. 8120 Apto. 312 BL 02 PAVIMENTO 3, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 146.000,00","81,68 m²",2 quartos,Apartamento,7
878771206151-0,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 103 BL 03, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 147.000,00","82,98 m²",2 quartos,Apartamento,8
878771223942-5,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 401 4° PAVIMENTO BL 03, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
878771235199-3,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 306 BL 03, , LAGO AZUL",LAGO AZUL,,"R$ 81.379,36","95,86 m²",2 quartos,Apartamento,9
878771274161-9,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 509 PAV 5 BL 02, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 150.000,00","82,98 m²",2 quartos,Apartamento,7
878771278283-8,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 505 BL 07, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 149.000,00","82,95 m²",2 quartos,Apartamento,8
878771297869-4,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 112 BL 08, , LAGO AZUL",LAGO AZUL,,"R$ 84.892,14",,1 quartos,,8
878771337556-0,MANAUS - VILA DAS FLORES,"AVENIDA DAS TORRES,N. 8292 Apto. 312 BL 07, , LAGO AZUL",LAGO AZUL,,"R$ 88.990,38","83,36 m²",2 quartos,Apartamento,6
878770722229-3,MANAUS - CONQUISTA FLORES,"AVENIDA JOSE NAPOLES HITOTUZI,N. 131 Apto. 206 BL 10 PAVIMENTO 2, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 148.000,00","83,81 m²",2 quartos,Apartamento,9
878770748508-1,MANAUS - CONQUISTA FLORES,"AVENIDA JOSE NAPOLES HITOTUZI,N. 131 Apto. 505 BL 01, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 144.845,51","84,13 m²",2 quartos,Apartamento,13
878770764150-4,MANAUS - CONQUISTA FLORES,"AVENIDA JOSE NAPOLES HITOTUZI,N. 131 Apto. 301 BL 02, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 144.000,00","84,13 m²",2 quartos,Apartamento,9
878770789131-4,MANAUS - COND CONQUISTA FLORES,"AVENIDA JOSE NAPOLES HITOTUZI,N. 131 Apto. 401 BLOCO 08, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 175.000,00","84,13 m²",2 quartos,Apartamento,7
855550050850-2,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 73, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 126.033,33","165,29 m²",2 quartos,Apartamento,9
855550052358-7,MANAUS - CONDOMINIO RESIDENCIAL VENORA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BLOCO 43, , LAGO AZUL",LAGO AZUL,,,"165,29 m²",2 quartos,Apartamento,
855550052407-9,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 12, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550052625-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 66, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550054681-1,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 50, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550057305-3,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 89, , LAGO AZUL",LAGO AZUL,,"R$ 64.571,15","165,29 m²",2 quartos,Apartamento,9
855550083051-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 24, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550201240-7,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 93, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550201277-6,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 44, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550203183-5,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 95, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550203706-0,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 94, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550204679-4,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 87, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550204711-1,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 56, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550212676-3,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 10, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550212922-3,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 201 BL 48, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550212967-3,MANAUS - COND. RES. VERON PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL.108 ., , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550218239-6,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 12, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550234420-5,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BLOCO 68, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550239395-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 12, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550242974-0,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 82, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550256841-3,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 201 BL 97, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550260374-0,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 79, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550266460-9,MANAUS - COND RES VERONA PREMIUN,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 46, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550266823-0,MANAUS - COND RES VERONA,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BLOCO 121, , LAGO AZUL",LAGO AZUL,Venda Direta,,,,,
855550269803-1,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BL 114, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550271104-6,MANAUS - COND  RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 99, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 113.000,00","165,29 m²",2 quartos,Apartamento,10
855550278371-3,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 302 Apto. 201 BL 42, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550279278-0,MANAUS - COM RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 49, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550280350-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL-20, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550283372-9,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 137, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550294381-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 203 BL 02, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550299295-9,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 43, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550299319-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 40, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550299627-0,MANAUS - COM RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL98, , LAGO AZUL",LAGO AZUL,,,,2 quartos,,
855550303581-8,MANAUS - RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL.09, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
